gene ;151f_1_10;126f_10_10;96f_11_10;175f_17_10;79f_1_40;100f_10_40;99f_11_40;163f_17_40
Contig10;3;0;0;0;0;2;1;0
Contig1001;0;2;0;0;0;0;0;0
Contig1027;0;1;1;1;0;1;0;1
Contig1029;0;2;0;8;0;4;0;4
Contig1039;0;1;0;0;1;0;0;0
Contig1042;0;1;0;0;0;0;0;1
Contig1044;0;2;0;0;0;0;0;0
Contig105;2;0;0;0;0;0;0;0
Contig1051;1;3;4;1;4;0;0;2
Contig1055;0;2;1;0;0;0;0;0
Contig106;1;0;0;1;0;0;2;0
Contig1063;0;1;0;0;0;0;2;0
Contig107;3;0;0;0;0;0;0;0
Contig1076;0;1;0;0;0;0;1;0
Contig110;1;0;0;0;1;0;0;0
Contig1109;0;18;0;0;2;0;0;0
Contig1120;0;1;3;2;3;2;1;1
Contig1123;0;7;2;0;0;0;0;0
Contig1125;0;2;0;0;0;0;0;0
Contig113;1;4;3;0;0;0;0;2
Contig1130;0;1;0;1;1;0;0;0
Contig114;1;0;0;0;0;1;0;0
Contig1155;0;1;2;0;0;0;0;0
Contig1156;0;2;0;0;0;0;0;0
Contig1162;0;1;0;1;0;2;2;0
Contig1168;0;1;0;0;0;0;1;0
Contig1176;0;2;0;0;0;0;0;0
Contig1178;0;4;0;0;0;0;0;0
Contig1179;0;1;2;0;0;0;0;1
Contig118;1;0;0;0;0;0;2;0
Contig1180;0;1;0;0;0;1;0;0
Contig1181;0;5;0;0;0;0;0;0
Contig1184;0;3;0;0;0;0;0;0
Contig1186;0;4;0;0;0;0;0;0
Contig1193;0;2;0;2;1;0;0;0
Contig1195;0;1;0;0;0;0;0;1
Contig12;2;0;0;0;0;0;0;0
Contig120;3;0;0;0;0;0;0;0
Contig121;1;0;0;0;0;0;1;0
Contig1218;0;2;0;0;0;0;0;0
Contig1219;0;2;0;0;0;0;0;0
Contig123;2;0;1;0;0;0;0;5
Contig1236;0;2;1;0;1;1;0;2
Contig1238;0;1;0;0;2;0;0;0
Contig124;1;0;0;0;1;0;1;0
Contig1240;0;2;0;0;0;0;0;0
Contig1246;0;1;1;0;1;1;0;0
Contig125;1;0;1;0;0;0;0;0
Contig1250;0;2;0;0;1;0;0;0
Contig1258;0;1;0;0;0;0;0;1
Contig126;2;0;0;0;0;0;0;0
Contig1263;0;1;1;0;0;0;0;0
Contig1267;0;2;0;0;0;0;0;0
Contig1276;0;3;1;0;0;0;0;0
Contig128;1;0;0;0;0;0;1;0
Contig129;2;0;0;0;0;0;0;0
Contig13;2;0;0;0;0;0;0;0
Contig1306;0;1;2;0;0;0;0;0
Contig1307;0;1;0;2;0;1;0;0
Contig131;1;0;0;0;1;1;1;0
Contig1315;0;1;2;0;0;0;0;0
Contig132;1;0;1;0;0;0;0;1
Contig133;1;0;0;0;1;1;0;0
Contig1333;0;2;0;0;0;0;0;0
Contig1335;0;2;1;0;0;0;0;0
Contig134;11;0;0;0;0;0;7;0
Contig1341;0;2;0;0;0;0;0;0
Contig1344;0;1;0;0;0;1;0;0
Contig1348;0;2;0;0;0;0;0;0
Contig1349;0;1;0;0;0;1;0;0
Contig135;2;0;0;0;0;0;0;0
Contig136;5;0;0;0;0;0;0;0
Contig137;14;11;3;5;0;27;5;7
Contig1376;0;1;0;0;1;0;2;0
Contig138;1;0;0;0;0;0;2;0
Contig1381;0;2;0;0;0;0;0;0
Contig139;3;0;0;0;0;0;0;0
Contig14;1;0;0;0;0;0;2;0
Contig1405;0;4;0;0;0;0;0;0
Contig1417;0;1;0;0;0;0;0;1
Contig1418;0;2;0;0;0;0;0;0
Contig1426;0;1;0;0;0;0;1;0
Contig143;2;0;0;0;0;0;0;0
Contig1437;3;6;0;1;0;3;0;0
Contig144;2;0;0;0;0;0;0;0
Contig145;1;0;0;0;0;1;0;0
Contig1450;0;3;0;0;0;0;0;0
Contig1460;0;2;0;0;0;0;0;0
Contig147;1;2;0;1;0;0;0;0
Contig1471;0;2;0;0;0;0;0;0
Contig149;10;23;104;0;4;2;3;5
Contig15;2;0;0;0;0;0;0;0
Contig1500;0;2;0;0;0;0;0;0
Contig151;23;0;0;0;0;0;32;1
Contig1517;0;9;0;0;0;0;0;0
Contig152;1;0;1;0;0;0;0;1
Contig1520;1;1;0;1;0;2;0;0
Contig1521;0;3;0;0;0;0;0;0
Contig1532;0;4;0;0;0;0;0;0
Contig154;1;0;1;0;0;0;0;0
Contig155;3;1;1;0;0;0;5;2
Contig1552;0;1;0;0;0;2;0;0
Contig1563;0;1;1;0;0;0;0;0
Contig1568;0;1;1;0;0;0;0;0
Contig157;1;0;3;1;1;0;14;1
Contig158;3;0;9;4;0;0;9;2
Contig1588;2;4;2;1;1;0;0;0
Contig159;1;0;0;0;0;0;0;2
Contig1595;0;3;1;3;0;0;0;0
