;X151f;X126f;X96f;X175f;X79f;X100f;X99f;X163f;manual_tax;NCBI_tax
tax_1;1;0;5;0;1;8;0;2;O_Bacteria;Bacteria
tax_2;1;0;0;0;0;0;0;0;Archaea;"Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae; Hyperthermus"
tax_3;0;0;0;0;0;1;0;1;Archaea;"Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus"
tax_4;0;1;0;0;0;0;0;0;Archaea;"Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Caldivirga"
tax_5;0;0;0;0;1;0;0;1;Archaea;"Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum"
tax_6;0;0;0;0;0;1;0;0;Archaea;"Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Ferroglobus"
tax_7;1;0;0;0;0;0;0;0;Archaea;"Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natrialba"
tax_8;0;1;0;0;1;0;0;0;Archaea;"Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halorubrum"
tax_9;13;3;28;0;9;146;1;0;Archaea;"Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter"
tax_10;0;1;1;0;0;0;0;0;Archaea;"Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera"
tax_11;1;1;0;0;0;2;0;0;Archaea;"Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter"
tax_12;2;0;0;0;0;2;0;0;Archaea;"Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus"
tax_13;0;0;0;0;0;0;0;1;Archaea;"Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus"
tax_14;0;1;0;0;1;0;0;0;Archaea;"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanocorpusculaceae; Methanocorpusculum"
tax_15;0;1;0;0;1;0;1;0;Archaea;"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanoregulaceae; Methanoregula"
tax_16;0;0;0;0;1;0;0;0;Archaea;"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanoregulaceae; Methanosphaerula"
tax_17;0;0;0;0;0;1;0;0;Archaea;"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanospirillum"
tax_18;0;1;0;0;0;0;0;0;Archaea;"Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta"
tax_19;1;0;0;0;0;5;0;1;Archaea;"Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina"
tax_20;0;0;0;0;0;1;0;0;Archaea;"Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus"
tax_21;0;0;0;0;2;0;0;0;Archaea;"Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus"
tax_22;0;0;2;0;0;2;1;0;Archaea;"Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus"
tax_23;4;5;0;0;0;0;0;0;Archaea;"Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma"
tax_24;0;0;1;0;0;0;0;0;Archaea;"Archaea; Euryarchaeota; environmental samples"
tax_25;1;0;0;0;0;0;0;0;Archaea;"Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae; Nitrosopumilus"
tax_26;0;0;0;0;1;0;0;0;O_Bacteria;"Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Acidobacterium"
tax_27;0;0;0;0;2;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria"
tax_28;1;3;0;1;1;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Actinomycineae; Actinomycetaceae; Actinomyces"
