"";"samples";"technology";"run";"tax";"conf"
"1";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"2";"A";"Sanger";"full";"Lachnospiraceae_Dorea";0,95
"3";"A";"Sanger";"full";"Rikenellaceae_Alistipes";1
"4";"A";"Sanger";"full";"Bacteroidaceae_Bacteroides";1
"5";"A";"Sanger";"full";"Lachnospiraceae_Coprococcus";0,82
"6";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"7";"A";"Sanger";"full";"Ruminococcaceae_Faecalibacterium";1
"8";"A";"Sanger";"full";"Ruminococcaceae_Faecalibacterium";1
"9";"A";"Sanger";"full";"Lachnospiraceae_Anaerostipes";0,94
"10";"A";"Sanger";"full";"Incertae_Sedis_XIV_Blautia";0,46
"11";"A";"Sanger";"full";"Bacteroidaceae_Bacteroides";1
"12";"A";"Sanger";"full";"Ruminococcaceae_Ruminococcus";1
"13";"A";"Sanger";"full";"Ruminococcaceae_Subdoligranulum";1
"14";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"15";"A";"Sanger";"full";"Eubacteriaceae_Eubacterium";0,34
"16";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";0,83
"17";"A";"Sanger";"full";"Bacteroidaceae_Bacteroides";1
"18";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"19";"A";"Sanger";"full";"Lachnospiraceae_Coprococcus";0,98
"20";"A";"Sanger";"full";"Bacteroidaceae_Bacteroides";1
"21";"A";"Sanger";"full";"Bacteroidaceae_Bacteroides";1
"22";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";0,5
"23";"A";"Sanger";"full";"Ruminococcaceae_Oscillibacter";1
"24";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";0,97
"25";"A";"Sanger";"full";"Ruminococcaceae_Faecalibacterium";1
"26";"A";"Sanger";"full";"Porphyromonadaceae_Barnesiella";0,94
"27";"A";"Sanger";"full";"Rikenellaceae_Alistipes";1
"28";"A";"Sanger";"full";"Lachnospiraceae_Coprococcus";1
"29";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"30";"A";"Sanger";"full";"Lachnospiraceae_Anaerostipes";0,62
"31";"A";"Sanger";"full";"Bacteroidaceae_Bacteroides";1
"32";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"33";"A";"Sanger";"full";"Ruminococcaceae_Subdoligranulum";0,99
"34";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";0,62
"35";"A";"Sanger";"full";"Lachnospiraceae_Coprococcus";1
"36";"A";"Sanger";"full";"Lachnospiraceae_Coprococcus";0,4
"37";"A";"Sanger";"full";"Lachnospiraceae_Dorea";0,99
"38";"A";"Sanger";"full";"Ruminococcaceae_Sporobacter";0,62
"39";"A";"Sanger";"full";"Ruminococcaceae_Ruminococcus";1
"40";"A";"Sanger";"full";"Lachnospiraceae_Dorea";1
"41";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";1
"42";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";0,56
"43";"A";"Sanger";"full";"Lachnospiraceae_Roseburia";0,58
